REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
Texas,2013,20,360,0.28
New York City,2013,20,X,X
California,2013,21,196,0
District of Columbia,2013,21,X,X
Florida,2013,21,X,X
New York,2013,21,454,0.88
Texas,2013,21,304,0.33
New York City,2013,21,X,X
California,2013,22,204,0.49
District of Columbia,2013,22,X,X
Florida,2013,22,X,X
New York,2013,22,383,0.26
Texas,2013,22,291,1.37
New York City,2013,22,X,X
California,2013,23,177,0
District of Columbia,2013,23,X,X
Florida,2013,23,X,X
New York,2013,23,388,1.03
Texas,2013,23,320,1.56
New York City,2013,23,X,X
California,2013,24,153,0
District of Columbia,2013,24,X,X
Florida,2013,24,X,X
New York,2013,24,341,0.29
Texas,2013,24,277,1.08
New York City,2013,24,X,X
California,2013,25,190,0
District of Columbia,2013,25,X,X
Florida,2013,25,X,X
New York,2013,25,339,0.59
Texas,2013,25,384,0.52
New York City,2013,25,X,X
California,2013,26,178,0
District of Columbia,2013,26,X,X
Florida,2013,26,X,X
New York,2013,26,284,0
Texas,2013,26,402,0.25
New York City,2013,26,X,X
California,2013,27,137,0
District of Columbia,2013,27,X,X
Florida,2013,27,X,X
New York,2013,27,289,0.35
Texas,2013,27,210,0.95
New York City,2013,27,X,X
California,2013,28,167,1.2
District of Columbia,2013,28,X,X
Florida,2013,28,X,X
New York,2013,28,288,0
Texas,2013,28,224,0.89
New York City,2013,28,X,X
California,2013,29,147,0.68
District of Columbia,2013,29,X,X
Florida,2013,29,X,X
New York,2013,29,236,0.42
Texas,2013,29,170,1.18
New York City,2013,29,X,X
California,2013,30,136,0.74
District of Columbia,2013,30,X,X
Florida,2013,30,X,X
New York,2013,30,288,0.35
Texas,2013,30,138,1.45
New York City,2013,30,X,X
California,2013,31,168,0
District of Columbia,2013,31,X,X
Florida,2013,31,X,X
New York,2013,31,286,0
Texas,2013,31,200,2.5
New York City,2013,31,X,X
California,2013,32,184,2.72
District of Columbia,2013,32,X,X
Florida,2013,32,X,X
New York,2013,32,291,0
Texas,2013,32,196,1.02
New York City,2013,32,X,X
California,2013,33,157,0
District of Columbia,2013,33,X,X
Florida,2013,33,X,X
New York,2013,33,267,0
Texas,2013,33,193,1.55
New York City,2013,33,X,X
California,2013,34,155,0
District of Columbia,2013,34,X,X
Florida,2013,34,X,X
New York,2013,34,289,0
Texas,2013,34,178,0
New York City,2013,34,X,X
California,2013,35,194,0
District of Columbia,2013,35,X,X
Florida,2013,35,X,X
New York,2013,35,281,0.71
Texas,2013,35,262,1.91
New York City,2013,35,X,X
California,2013,36,165,0
District of Columbia,2013,36,X,X
Florida,2013,36,X,X
New York,2013,36,267,0.75
Texas,2013,36,360,0.83
New York City,2013,36,X,X
California,2013,37,196,0
District of Columbia,2013,37,X,X
Florida,2013,37,X,X
New York,2013,37,310,0.32
Texas,2013,37,366,0.82
New York City,2013,37,X,X
California,2013,38,198,0.51
District of Columbia,2013,38,X,X
Florida,2013,38,X,X
New York,2013,38,357,1.12
Texas,2013,38,454,0.88
New York City,2013,38,X,X
California,2013,39,228,0
District of Columbia,2013,39,X,X
Florida,2013,39,X,X
New York,2013,39,518,0.97
Texas,2013,39,467,0.64
New York City,2013,39,X,X
California,2013,40,256,0.39
District of Columbia,2013,40,X,X
Florida,2013,40,X,X
New York,2013,40,486,1.03
Texas,2013,40,420,1.43
New York City,2013,40,X,X
California,2013,41,334,1.2
District of Columbia,2013,41,20,0
Florida,2013,41,X,X
New York,2013,41,510,0.2
Texas,2013,41,570,1.4
New York City,2013,41,X,X
California,2013,42,335,1.19
District of Columbia,2013,42,X,X
Florida,2013,42,X,X
New York,2013,42,541,0.37
Texas,2013,42,544,2.02
New York City,2013,42,X,X
California,2013,43,290,1.03
District of Columbia,2013,43,X,X
Florida,2013,43,X,X
New York,2013,43,569,0.18
Texas,2013,43,597,2.85
New York City,2013,43,X,X
California,2013,44,358,2.79
District of Columbia,2013,44,X,X
Florida,2013,44,X,X
New York,2013,44,580,1.03
Texas,2013,44,608,2.96
New York City,2013,44,X,X
California,2013,45,354,1.98
District of Columbia,2013,45,X,X
Florida,2013,45,X,X
New York,2013,45,638,1.72
Texas,2013,45,701,6.99
New York City,2013,45,X,X
California,2013,46,364,2.47
District of Columbia,2013,46,X,X
Florida,2013,46,X,X
New York,2013,46,649,1.39
Texas,2013,46,871,9.76
New York City,2013,46,X,X
California,2013,47,389,1.8
District of Columbia,2013,47,X,X
Florida,2013,47,X,X
New York,2013,47,673,0.89
Texas,2013,47,861,9.99
New York City,2013,47,X,X
California,2013,48,321,4.67
District of Columbia,2013,48,X,X
Florida,2013,48,X,X
New York,2013,48,629,3.34
Texas,2013,48,933,12.86
New York City,2013,48,X,X
California,2013,49,379,5.8
District of Columbia,2013,49,X,X
Florida,2013,49,X,X
New York,2013,49,829,4.95
Texas,2013,49,1390,20.22
New York City,2013,49,X,X
California,2013,50,445,8.09
District of Columbia,2013,50,X,X
Florida,2013,50,X,X
New York,2013,50,843,9.49
Texas,2013,50,1695,26.49
New York City,2013,50,X,X
California,2013,51,504,14.29
District of Columbia,2013,51,X,X
Florida,2013,51,X,X
New York,2013,51,949,13.28
Texas,2013,51,3116,34.72
New York City,2013,51,X,X
California,2013,52,534,17.6
District of Columbia,2013,52,X,X
Florida,2013,52,X,X
New York,2013,52,1181,21.76
Texas,2013,52,3346,30.42
New York City,2013,52,X,X
California,2014,1,852,23
District of Columbia,2014,1,10,90
Florida,2014,1,X,X
New York,2014,1,1326,20.06
Texas,2014,1,3062,26.29
New York City,2014,1,X,X
California,2014,2,1087,29.44
District of Columbia,2014,2,33,84.85
Florida,2014,2,X,X
New York,2014,2,1510,18.41
Texas,2014,2,2548,21.43
New York City,2014,2,X,X
California,2014,3,1201,28.89
District of Columbia,2014,3,11,100
Florida,2014,3,X,X
New York,2014,3,1439,22.03
Texas,2014,3,2159,17.65
New York City,2014,3,X,X
California,2014,4,1297,27.14
District of Columbia,2014,4,25,96
Florida,2014,4,X,X
New York,2014,4,1559,24.37
Texas,2014,4,1728,13.08
New York City,2014,4,X,X
California,2014,5,1164,23.45
District of Columbia,2014,5,X,X
Florida,2014,5,X,X
New York,2014,5,1518,18.97
Texas,2014,5,1450,10.9
New York City,2014,5,X,X
California,2014,6,906,19.98
District of Columbia,2014,6,33,100
Florida,2014,6,X,X
New York,2014,6,1328,19.88
Texas,2014,6,1163,10.75
New York City,2014,6,X,X
California,2014,7,810,11.23
District of Columbia,2014,7,12,58.33
Florida,2014,7,X,X
New York,2014,7,1243,19.07
Texas,2014,7,1109,9.74
New York City,2014,7,X,X
California,2014,8,617,8.43
District of Columbia,2014,8,10,90
Florida,2014,8,X,X
New York,2014,8,1080,12.59
Texas,2014,8,1085,9.22
New York City,2014,8,X,X
California,2014,9,665,5.26
District of Columbia,2014,9,X,X
Florida,2014,9,X,X
New York,2014,9,1046,15.01
Texas,2014,9,919,9.58
New York City,2014,9,X,X
California,2014,10,576,2.43
District of Columbia,2014,10,X,X
Florida,2014,10,X,X
New York,2014,10,951,12.83
Texas,2014,10,986,10.24
New York City,2014,10,X,X
California,2014,11,532,3.2
District of Columbia,2014,11,15,20
Florida,2014,11,X,X
New York,2014,11,1018,16.99
Texas,2014,11,806,9.18
New York City,2014,11,X,X
California,2014,12,431,2.32
District of Columbia,2014,12,X,X
Florida,2014,12,X,X
New York,2014,12,1035,18.84
Texas,2014,12,745,10.2
New York City,2014,12,X,X
California,2014,13,374,4.01
District of Columbia,2014,13,X,X
Florida,2014,13,X,X
New York,2014,13,1169,21.47
Texas,2014,13,570,11.75
New York City,2014,13,X,X
California,2014,14,349,1.15
District of Columbia,2014,14,X,X
Florida,2014,14,X,X
New York,2014,14,1153,24.63
Texas,2014,14,660,10
New York City,2014,14,X,X
California,2014,15,362,5.8
District of Columbia,2014,15,X,X
Florida,2014,15,X,X
New York,2014,15,1172,22.44
Texas,2014,15,616,8.44
New York City,2014,15,X,X
California,2014,16,327,2.75
District of Columbia,2014,16,X,X
Florida,2014,16,X,X
New York,2014,16,1075,20.19
Texas,2014,16,603,5.64
New York City,2014,16,X,X
California,2014,17,289,2.08
District of Columbia,2014,17,X,X
Florida,2014,17,X,X
New York,2014,17,903,15.39
Texas,2014,17,497,6.04
New York City,2014,17,X,X
California,2014,18,266,4.14
District of Columbia,2014,18,X,X
Florida,2014,18,X,X
New York,2014,18,741,11.61
Texas,2014,18,545,5.87
New York City,2014,18,X,X
California,2014,19,266,5.64
District of Columbia,2014,19,X,X
Florida,2014,19,X,X
New York,2014,19,690,9.28
Texas,2014,19,508,4.33
New York City,2014,19,X,X
California,2014,20,279,5.38
District of Columbia,2014,20,X,X
Florida,2014,20,X,X
New York,2014,20,631,7.92
Texas,2014,20,505,5.94
New York City,2014,20,X,X
California,2014,21,272,5.51
District of Columbia,2014,21,X,X
Florida,2014,21,X,X
New York,2014,21,557,3.59
Texas,2014,21,452,4.42
New York City,2014,21,X,X
California,2014,22,252,4.76
District of Columbia,2014,22,X,X
Florida,2014,22,X,X
New York,2014,22,512,1.76
Texas,2014,22,455,1.98
New York City,2014,22,X,X
California,2014,23,226,3.54
District of Columbia,2014,23,X,X
Florida,2014,23,X,X
New York,2014,23,446,0.9
Texas,2014,23,429,5.13
New York City,2014,23,X,X
California,2014,24,229,2.62
District of Columbia,2014,24,X,X
Florida,2014,24,X,X
New York,2014,24,443,0.45
Texas,2014,24,413,7.26
New York City,2014,24,X,X
California,2014,25,262,2.67
District of Columbia,2014,25,X,X
Florida,2014,25,X,X
New York,2014,25,364,0.27
Texas,2014,25,381,1.57
New York City,2014,25,X,X
California,2014,26,219,2.28
District of Columbia,2014,26,X,X
Florida,2014,26,X,X
New York,2014,26,378,0.26
Texas,2014,26,314,0.32
New York City,2014,26,X,X
California,2014,27,196,1.53
District of Columbia,2014,27,X,X
Florida,2014,27,X,X
New York,2014,27,387,0.26
Texas,2014,27,292,0
New York City,2014,27,X,X
California,2014,28,200,2
District of Columbia,2014,28,X,X
Florida,2014,28,X,X
New York,2014,28,368,0.82
Texas,2014,28,310,0.65
New York City,2014,28,X,X
California,2014,29,192,1.56
District of Columbia,2014,29,X,X
Florida,2014,29,X,X
New York,2014,29,340,0.59
Texas,2014,29,341,0.59
New York City,2014,29,X,X
California,2014,30,227,3.08
District of Columbia,2014,30,X,X
Florida,2014,30,X,X
New York,2014,30,357,0
Texas,2014,30,272,0.37
New York City,2014,30,X,X
California,2014,31,192,0.52
District of Columbia,2014,31,X,X
Florida,2014,31,X,X
New York,2014,31,322,0.62
Texas,2014,31,240,0.42
New York City,2014,31,X,X
California,2014,32,178,2.25
District of Columbia,2014,32,X,X
Florida,2014,32,X,X
New York,2014,32,255,0
Texas,2014,32,226,0.88
New York City,2014,32,X,X
California,2014,33,204,1.96
District of Columbia,2014,33,X,X
Florida,2014,33,X,X
New York,2014,33,302,0.66
Texas,2014,33,212,0.47
New York City,2014,33,X,X
California,2014,34,192,0.52
District of Columbia,2014,34,X,X
Florida,2014,34,X,X
New York,2014,34,267,0.75
Texas,2014,34,210,1.43
New York City,2014,34,X,X
California,2014,35,216,0.46
District of Columbia,2014,35,X,X
Florida,2014,35,X,X
New York,2014,35,290,0.34
Texas,2014,35,264,1.14
New York City,2014,35,X,X
California,2014,36,252,0
District of Columbia,2014,36,X,X
Florida,2014,36,X,X
New York,2014,36,308,1.3
Texas,2014,36,329,0.3
New York City,2014,36,X,X
California,2014,37,278,0
District of Columbia,2014,37,X,X
Florida,2014,37,X,X
New York,2014,37,337,0.3
Texas,2014,37,438,0.46
New York City,2014,37,X,X
California,2014,38,297,0
District of Columbia,2014,38,X,X
Florida,2014,38,X,X
New York,2014,38,469,0.21
Texas,2014,38,474,1.48
New York City,2014,38,X,X
California,2014,39,248,1.21
District of Columbia,2014,39,X,X
Florida,2014,39,X,X
New York,2014,39,555,0.72
Texas,2014,39,551,3.63
New York City,2014,39,X,X
California,2014,40,560,1.61
District of Columbia,2014,40,X,X
Florida,2014,40,X,X
New York,2014,40,1029,0.29
Texas,2014,40,738,2.17
New York City,2014,40,X,X
California,2014,41,609,2.46
District of Columbia,2014,41,X,X
Florida,2014,41,X,X
New York,2014,41,1020,0.98
Texas,2014,41,934,4.28
New York City,2014,41,X,X
California,2014,42,554,3.07
District of Columbia,2014,42,X,X
Florida,2014,42,X,X
New York,2014,42,1098,1.46
Texas,2014,42,1075,4.65
New York City,2014,42,X,X
California,2014,43,591,2.03
District of Columbia,2014,43,X,X
Florida,2014,43,X,X
New York,2014,43,1085,0.55
Texas,2014,43,1023,4.89
New York City,2014,43,X,X
California,2014,44,562,3.91
District of Columbia,2014,44,X,X
Florida,2014,44,X,X
New York,2014,44,1024,0.68
Texas,2014,44,1015,7.78
New York City,2014,44,X,X
California,2014,45,662,2.11
District of Columbia,2014,45,X,X
Florida,2014,45,X,X
New York,2014,45,1098,1.09
Texas,2014,45,1081,13.04
New York City,2014,45,X,X
California,2014,46,611,3.27
District of Columbia,2014,46,X,X
Florida,2014,46,X,X
New York,2014,46,1142,1.31
Texas,2014,46,1263,17.18
New York City,2014,46,X,X
California,2014,47,653,3.68
District of Columbia,2014,47,X,X
Florida,2014,47,X,X
New York,2014,47,1160,1.21
Texas,2014,47,1864,26.88
New York City,2014,47,X,X
California,2014,48,649,5.55
District of Columbia,2014,48,X,X
Florida,2014,48,X,X
New York,2014,48,1103,2.54
Texas,2014,48,2341,28.49
New York City,2014,48,X,X
California,2014,49,790,11.01
District of Columbia,2014,49,13,53.85
Florida,2014,49,X,X
New York,2014,49,1368,8.33
Texas,2014,49,2849,27.9
New York City,2014,49,X,X
California,2014,50,849,15.19
District of Columbia,2014,50,20,75
Florida,2014,50,X,X
New York,2014,50,1684,13.18
Texas,2014,50,3646,32.45
New York City,2014,50,X,X
California,2014,51,1076,15.24
District of Columbia,2014,51,23,78.26
Florida,2014,51,X,X
New York,2014,51,2355,19.28
Texas,2014,51,3450,32.49
New York City,2014,51,X,X
California,2014,52,1453,24.71
District of Columbia,2014,52,51,94.12
Florida,2014,52,X,X
New York,2014,52,2795,29.48
Texas,2014,52,3392,31.37
New York City,2014,52,X,X
California,2014,53,1777,27.8
District of Columbia,2014,53,51,90.2
Florida,2014,53,X,X
New York,2014,53,3200,26.28
Texas,2014,53,2795,25.44
New York City,2014,53,X,X
California,2015,1,2471,37.88
District of Columbia,2015,1,16,81.25
Florida,2015,1,X,X
New York,2015,1,3509,21.35
Texas,2015,1,2734,22.64
New York City,2015,1,X,X
California,2015,2,3119,42.64
District of Columbia,2015,2,11,90.91
Florida,2015,2,X,X
New York,2015,2,3125,23.3
Texas,2015,2,2717,26.72
New York City,2015,2,X,X
California,2015,3,3139,36.92
District of Columbia,2015,3,37,75.68
Florida,2015,3,X,X
New York,2015,3,3252,27.34
Texas,2015,3,2668,22.26
New York City,2015,3,X,X
California,2015,4,3187,36.12
District of Columbia,2015,4,X,X
Florida,2015,4,X,X
New York,2015,4,3022,24.98
Texas,2015,4,2513,19.34
New York City,2015,4,X,X
California,2015,5,2821,35.24
District of Columbia,2015,5,X,X
Florida,2015,5,X,X
New York,2015,5,2918,23.34
Texas,2015,5,2237,16.85
New York City,2015,5,X,X
California,2015,6,2567,26.26
District of Columbia,2015,6,12,75
Florida,2015,6,X,X
New York,2015,6,2659,18.95
Texas,2015,6,2070,15.27
New York City,2015,6,X,X
California,2015,7,2062,23.04
District of Columbia,2015,7,X,X
Florida,2015,7,X,X
New York,2015,7,2296,18.21
Texas,2015,7,1988,11.72
New York City,2015,7,X,X
California,2015,8,1788,17
District of Columbia,2015,8,X,X
Florida,2015,8,X,X
New York,2015,8,2150,13.49
Texas,2015,8,1680,10.83
New York City,2015,8,X,X
California,2015,9,1614,17.53
District of Columbia,2015,9,X,X
Florida,2015,9,X,X
New York,2015,9,1887,13.73
Texas,2015,9,1681,10.95
New York City,2015,9,X,X
California,2015,10,1472,12.7
District of Columbia,2015,10,X,X
Florida,2015,10,X,X
New York,2015,10,1941,12.78
Texas,2015,10,1692,12.65
New York City,2015,10,X,X
California,2015,11,1372,11.01
District of Columbia,2015,11,X,X
Florida,2015,11,X,X
New York,2015,11,1899,14.01
Texas,2015,11,1403,7.77
New York City,2015,11,X,X
California,2015,12,1128,9.84
District of Columbia,2015,12,X,X
Florida,2015,12,X,X
New York,2015,12,1948,13.91
Texas,2015,12,1196,5.1
New York City,2015,12,X,X
California,2015,13,894,8.17
District of Columbia,2015,13,X,X
Florida,2015,13,X,X
New York,2015,13,1699,14.89
Texas,2015,13,1184,7.09
New York City,2015,13,X,X
California,2015,14,776,7.99
District of Columbia,2015,14,10,70
Florida,2015,14,X,X
New York,2015,14,1704,11.5
Texas,2015,14,1106,4.7
New York City,2015,14,X,X
California,2015,15,727,8.8
District of Columbia,2015,15,X,X
Florida,2015,15,X,X
New York,2015,15,1594,9.97
Texas,2015,15,1021,2.45
New York City,2015,15,X,X
California,2015,16,657,7.91
District of Columbia,2015,16,X,X
Florida,2015,16,X,X
New York,2015,16,1346,6.17
Texas,2015,16,907,2.09
New York City,2015,16,X,X
California,2015,17,586,4.61
District of Columbia,2015,17,X,X
Florida,2015,17,X,X
New York,2015,17,1284,4.98
Texas,2015,17,751,1.2
New York City,2015,17,X,X
California,2015,18,543,7
District of Columbia,2015,18,X,X
Florida,2015,18,X,X
New York,2015,18,1131,2.39
Texas,2015,18,720,1.39
New York City,2015,18,X,X
California,2015,19,491,6.11
District of Columbia,2015,19,X,X
Florida,2015,19,X,X
New York,2015,19,1026,2.63
Texas,2015,19,637,1.88
New York City,2015,19,X,X
California,2015,20,533,5.82
District of Columbia,2015,20,X,X
Florida,2015,20,X,X
New York,2015,20,903,1.88
Texas,2015,20,633,0.63
New York City,2015,20,X,X
California,2015,21,519,4.05
District of Columbia,2015,21,X,X
Florida,2015,21,X,X
New York,2015,21,857,1.28
Texas,2015,21,536,0.75
New York City,2015,21,X,X
California,2015,22,465,3.23
District of Columbia,2015,22,X,X
Florida,2015,22,X,X
New York,2015,22,719,0.83
Texas,2015,22,519,2.7
New York City,2015,22,X,X
California,2015,23,512,4.1
District of Columbia,2015,23,X,X
Florida,2015,23,X,X
New York,2015,23,838,0.6
Texas,2015,23,517,1.74
New York City,2015,23,X,X
California,2015,24,432,2.78
District of Columbia,2015,24,X,X
Florida,2015,24,X,X
New York,2015,24,770,0.39
Texas,2015,24,488,1.43
New York City,2015,24,X,X
California,2015,25,424,2.36
District of Columbia,2015,25,X,X
Florida,2015,25,X,X
New York,2015,25,708,0.28
Texas,2015,25,420,0.95
New York City,2015,25,X,X
California,2015,26,326,4.29
District of Columbia,2015,26,X,X
Florida,2015,26,X,X
New York,2015,26,639,0.16
Texas,2015,26,412,0.73
New York City,2015,26,X,X
California,2015,27,351,1.42
District of Columbia,2015,27,X,X
Florida,2015,27,X,X
New York,2015,27,710,0.56
Texas,2015,27,422,0.24
New York City,2015,27,X,X
California,2015,28,286,1.75
District of Columbia,2015,28,X,X
Florida,2015,28,X,X
New York,2015,28,667,0.15
Texas,2015,28,386,1.04
New York City,2015,28,X,X
California,2015,29,303,0.66
District of Columbia,2015,29,X,X
Florida,2015,29,X,X
New York,2015,29,618,0.32
Texas,2015,29,274,1.09
New York City,2015,29,X,X
California,2015,30,300,0
District of Columbia,2015,30,X,X
Florida,2015,30,X,X
New York,2015,30,621,0.64
Texas,2015,30,340,0.29
New York City,2015,30,X,X
California,2015,31,299,1.67
District of Columbia,2015,31,X,X
Florida,2015,31,X,X
New York,2015,31,637,1.26
Texas,2015,31,337,0.59
New York City,2015,31,X,X
California,2015,32,315,2.86
District of Columbia,2015,32,X,X
Florida,2015,32,X,X
New York,2015,32,597,1.01
Texas,2015,32,254,0
New York City,2015,32,X,X
California,2015,33,289,1.04
District of Columbia,2015,33,X,X
Florida,2015,33,X,X
New York,2015,33,648,0.46
Texas,2015,33,371,0.27
New York City,2015,33,X,X
California,2015,34,379,0.79
District of Columbia,2015,34,X,X
Florida,2015,34,X,X
New York,2015,34,643,0.47
Texas,2015,34,379,1.06
New York City,2015,34,X,X
California,2015,35,331,3.02
District of Columbia,2015,35,X,X
Florida,2015,35,X,X
New York,2015,35,578,1.04
Texas,2015,35,444,1.35
New York City,2015,35,X,X
California,2015,36,410,1.71
District of Columbia,2015,36,X,X
Florida,2015,36,X,X
New York,2015,36,603,1
Texas,2015,36,422,1.42
New York City,2015,36,X,X
California,2015,37,419,1.43
District of Columbia,2015,37,X,X
Florida,2015,37,X,X
New York,2015,37,733,0.68
Texas,2015,37,562,1.6
New York City,2015,37,X,X
California,2015,38,431,2.55
District of Columbia,2015,38,X,X
Florida,2015,38,X,X
New York,2015,38,914,0.22
Texas,2015,38,698,1.86
New York City,2015,38,X,X
California,2015,39,539,2.23
District of Columbia,2015,39,X,X
Florida,2015,39,X,X
New York,2015,39,998,0.6
Texas,2015,39,763,2.1
New York City,2015,39,X,X
California,2015,40,683,0.29
District of Columbia,2015,40,X,X
Florida,2015,40,X,X
New York,2015,40,1095,0.37
Texas,2015,40,1129,1.68
New York City,2015,40,X,X
California,2015,41,661,0.76
District of Columbia,2015,41,X,X
Florida,2015,41,X,X
New York,2015,41,1239,0.48
Texas,2015,41,1150,1.91
New York City,2015,41,X,X
California,2015,42,609,0.33
District of Columbia,2015,42,X,X
Florida,2015,42,X,X
New York,2015,42,1262,0.24
Texas,2015,42,1084,1.66
New York City,2015,42,X,X
California,2015,43,677,0
District of Columbia,2015,43,X,X
Florida,2015,43,X,X
New York,2015,43,1284,0.7
Texas,2015,43,1093,1.83
New York City,2015,43,X,X
California,2015,44,811,1.11
District of Columbia,2015,44,X,X
Florida,2015,44,X,X
New York,2015,44,1236,0.49
Texas,2015,44,1217,1.4
New York City,2015,44,X,X
California,2015,45,873,1.03
District of Columbia,2015,45,X,X
Florida,2015,45,X,X
New York,2015,45,1322,0.3
Texas,2015,45,1343,2.31
New York City,2015,45,X,X
California,2015,46,943,0.64
District of Columbia,2015,46,X,X
Florida,2015,46,X,X
New York,2015,46,1330,0.23
Texas,2015,46,1140,2.89
New York City,2015,46,X,X
California,2015,47,858,0.58
District of Columbia,2015,47,X,X
Florida,2015,47,X,X
New York,2015,47,1213,0.66
Texas,2015,47,1494,1.27
New York City,2015,47,X,X
California,2015,48,1015,1.58
District of Columbia,2015,48,X,X
Florida,2015,48,X,X
New York,2015,48,1457,0.55
Texas,2015,48,1480,1.35
New York City,2015,48,X,X
California,2015,49,985,0.91
District of Columbia,2015,49,X,X
Florida,2015,49,X,X
New York,2015,49,1422,0.84
Texas,2015,49,1557,1.54
New York City,2015,49,X,X
California,2015,50,1015,1.87
District of Columbia,2015,50,X,X
Florida,2015,50,X,X
New York,2015,50,1613,0.62
Texas,2015,50,1655,1.33
New York City,2015,50,X,X
California,2015,51,1110,3.6
District of Columbia,2015,51,X,X
Florida,2015,51,X,X
